url,timestamp,wayback_url,mimetype,status,digest,length
http://www.connective.ca:80/,20060313193448,https://web.archive.org/web/20060313193448/http://www.connective.ca:80/,text/html,200,6EYUTPB7K6YGQXKH5WKFAFBGWWAAJVDM,2636
http://connective.ca/,20141216203445,https://web.archive.org/web/20141216203445/http://connective.ca/,text/html,200,YNZMRBIMLZDWC4RD4OITRALBN5H25C2B,605
http://connective.ca/,20160110160800,https://web.archive.org/web/20160110160800/http://connective.ca/,text/html,302,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,421
http://www.connective.ca/,20160209041241,https://web.archive.org/web/20160209041241/http://www.connective.ca/,text/html,200,Z66JR7PLOXGZNTYGTMVSLDSM65LKDAGZ,2489
http://connective.ca/,20160304170414,https://web.archive.org/web/20160304170414/http://connective.ca/,text/html,302,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,421
http://www.connective.ca/,20160314181133,https://web.archive.org/web/20160314181133/http://www.connective.ca/,text/html,200,75XDUVYNDBN72WTR652XQZMNVMAD3EGE,2505
http://connective.ca/,20161002193141,https://web.archive.org/web/20161002193141/http://connective.ca/,text/html,200,7UHNXO72KOMMJSVC3X7F7ZWIKMNMIQ6Z,1090
http://connective.ca/,20180116004335,https://web.archive.org/web/20180116004335/http://connective.ca/,text/html,200,GRAXOQQF5FKHTGFHY3LYRSALQJWFYRX6,1125
http://connective.ca/,20180804013306,https://web.archive.org/web/20180804013306/http://connective.ca/,text/html,200,QC656BSRINPIE4UTNDIO2AW3ASY7DOVO,1123
http://connective.ca/,20190531235543,https://web.archive.org/web/20190531235543/http://connective.ca/,text/html,200,YTTHLBQGXNXN6P2UK3C5Q233QRJZTGO2,1124
https://connective.ca/,20211102083646,https://web.archive.org/web/20211102083646/https://connective.ca/,text/html,200,KJUF2FHX7PLQ4SWW53HAOZPSHZC2HLFW,24563
http://www.connective.ca/,20211102221720,https://web.archive.org/web/20211102221720/http://www.connective.ca/,text/html,301,HLNR6AWVWYCU3YAENY3HYHLIPNWN66X7,375
https://connective.ca/,20211102221721,https://web.archive.org/web/20211102221721/https://connective.ca/,text/html,200,57MEMUVVNMH2NAR4KUJBIFNLIO72WERV,24713
http://www.connective.ca/,20211103080102,https://web.archive.org/web/20211103080102/http://www.connective.ca/,text/html,301,HLNR6AWVWYCU3YAENY3HYHLIPNWN66X7,417
https://www.connective.ca/,20211103080103,https://web.archive.org/web/20211103080103/https://www.connective.ca/,text/html,301,3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ,379
